Link: https://www.nytimes.com/2022/07/25/realestate/homeownership-san-diego-tijuana-mexico.html
Facebook Interactions,Facebook Reactions,Facebook Shares,Facebook Comments
1186,589,328,269

Source,Followers,Date,Interactions,Post Type,Link
Juan Pablo Garnham,3413,Mon Jul 25 2022 21:47:03 GMT+0000,0,Twitter,https://twitter.com/jpgarnham/status/1551685485566627840
Marcos Ancelovici,1515,Mon Jul 25 2022 21:09:13 GMT+0000,0,Twitter,https://twitter.com/mancelovici/status/1551675966744891393
Slicker Mancini,209,Mon Jul 25 2022 21:07:20 GMT+0000,0,Twitter,https://twitter.com/slickerjoe1/status/1551675489831485444
Los Angeles News,63,Mon Jul 25 2022 20:59:06 GMT+0000,0,Twitter,https://twitter.com/WeLoveLASports/status/1551673419380404224
Luis R,13,Mon Jul 25 2022 20:58:18 GMT+0000,0,Twitter,https://twitter.com/luisrdezh18/status/1551673218976677888
Mike,600,Mon Jul 25 2022 20:36:31 GMT+0000,0,Twitter,https://twitter.com/mikewpg1ca/status/1551667737222647808
Brian D. Hinson 🇾🇪🇵🇸,1135,Mon Jul 25 2022 20:09:45 GMT+0000,0,Twitter,https://twitter.com/BrianDHinson1/status/1551661000310530049
Rachel Van Dongen,4126,Mon Jul 25 2022 20:06:22 GMT+0000,0,Twitter,https://twitter.com/RachelVanD/status/1551660149198258176
Don't Buy Now,2196,Mon Jul 25 2022 19:58:49 GMT+0000,0,Twitter,https://twitter.com/PopTheOzBubble/status/1551658246582456321
Elizabeth Rust,1049,Mon Jul 25 2022 19:52:31 GMT+0000,0,Twitter,https://twitter.com/ElizRust/status/1551656660942331910
Kenan Hochuli,352,Mon Jul 25 2022 19:49:07 GMT+0000,0,Twitter,https://twitter.com/kenanhochuli/status/1551655809389678592
Dan Moshenberg,3924,Mon Jul 25 2022 19:34:50 GMT+0000,0,Twitter,https://twitter.com/danwibg/status/1551652211264000006
BananaMiriam,54,Mon Jul 25 2022 18:44:31 GMT+0000,0,Twitter,https://twitter.com/ChannaMiriamK/status/1551639549691904000
Oswald Sobrino,638,Mon Jul 25 2022 18:37:35 GMT+0000,0,Twitter,https://twitter.com/OswaldSobrino/status/1551637803569762307
tomgable,2376,Mon Jul 25 2022 18:32:53 GMT+0000,0,Twitter,https://twitter.com/tomgable/status/1551636623514902528
gorbegozo,127,Mon Jul 25 2022 18:24:59 GMT+0000,0,Twitter,https://twitter.com/gaorbegozo/status/1551634633862758401
AD Powell,429,Mon Jul 25 2022 18:08:09 GMT+0000,0,Twitter,https://twitter.com/mischling2nd/status/1551630400287641600
Ghost Dansing 🌻🇺🇦☠️ 👻 👽,2164,Mon Jul 25 2022 17:56:54 GMT+0000,0,Twitter,https://twitter.com/ghostdansing/status/1551627566687174656
Jesus,95,Mon Jul 25 2022 17:55:42 GMT+0000,0,Twitter,https://twitter.com/Jesus37316372/status/1551627264072327174
Michael Gutierrez,323,Mon Jul 25 2022 17:38:14 GMT+0000,0,Twitter,https://twitter.com/MichaelG398/status/1551622870664486912
Wendy,512,Mon Jul 25 2022 17:18:25 GMT+0000,0,Twitter,https://twitter.com/BlueWolfhound/status/1551617881019846656
Sean Graf,410,Mon Jul 25 2022 16:29:41 GMT+0000,0,Twitter,https://twitter.com/seangraf/status/1551605620284981249
Žižek OnlyFans 🌹,174,Mon Jul 25 2022 16:13:20 GMT+0000,0,Twitter,https://twitter.com/khoobehi/status/1551601503659610112
QueerlyDiscontent2,2522,Mon Jul 25 2022 15:48:24 GMT+0000,0,Twitter,https://twitter.com/AmishScientist/status/1551595228309508097
#postdeconstructionist #exdeconstructionist,264,Mon Jul 25 2022 15:36:30 GMT+0000,0,Twitter,https://twitter.com/postdeconstruc/status/1551592232616022016
🅱️ethany Khan,3615,Mon Jul 25 2022 14:56:37 GMT+0000,0,Twitter,https://twitter.com/BethanyKhan/status/1551582197001228290
Serge Dedina,1841,Mon Jul 25 2022 14:40:32 GMT+0000,0,Twitter,https://twitter.com/sergededina/status/1551578150072492032
Eric Squair,585,Mon Jul 25 2022 14:38:21 GMT+0000,0,Twitter,https://twitter.com/ericsquair/status/1551577600912490497
The Pug,367,Mon Jul 25 2022 14:27:10 GMT+0000,0,Twitter,https://twitter.com/thepugnews/status/1551574784491782144
Hacker News 20,418,Mon Jul 25 2022 14:25:31 GMT+0000,0,Twitter,https://twitter.com/betterhn20/status/1551574370904154114
Jennifer Holt-Molina,11,Mon Jul 25 2022 14:15:27 GMT+0000,0,Twitter,https://twitter.com/HoltMolina/status/1551571839075332098
Todd Kashdan,16618,Mon Jul 25 2022 14:14:51 GMT+0000,0,Twitter,https://twitter.com/toddkashdan/status/1551571686218235906
Ade Romero,53,Mon Jul 25 2022 14:10:49 GMT+0000,0,Twitter,https://twitter.com/aderomero16/status/1551570672870105089
Jim Russell,1324,Mon Jul 25 2022 13:37:49 GMT+0000,0,Twitter,https://twitter.com/ProducerCities/status/1551562366663393280
Hacker News,18745,Mon Jul 25 2022 13:20:02 GMT+0000,0,Twitter,https://twitter.com/HNTweets/status/1551557890384838659
Meg Murphy,1203,Mon Jul 25 2022 12:23:32 GMT+0000,0,Twitter,https://twitter.com/pajaritomurphy/status/1551543673522880513
Jaan Pill,2059,Mon Jul 25 2022 12:13:14 GMT+0000,0,Twitter,https://twitter.com/JaanPill/status/1551541078544842753
NavyHelo,794,Mon Jul 25 2022 12:10:12 GMT+0000,0,Twitter,https://twitter.com/helo_navy/status/1551540315777024002
Flaccid Suxelrod,83,Mon Jul 25 2022 11:50:54 GMT+0000,0,Twitter,https://twitter.com/vitiligo669/status/1551535458932477954
Truth be spoken,123,Mon Jul 25 2022 11:40:41 GMT+0000,0,Twitter,https://twitter.com/ratram1/status/1551532890667851777
Ann Rutledge,532,Mon Jul 25 2022 11:11:22 GMT+0000,0,Twitter,https://twitter.com/AnnRutledgeRR/status/1551525511754563584
Jim Farah,474,Mon Jul 25 2022 10:14:08 GMT+0000,0,Twitter,https://twitter.com/jcfarah/status/1551511107227029506
RegallyReal Estate,29,Mon Jul 25 2022 10:13:13 GMT+0000,0,Twitter,https://twitter.com/RegallyRealPage/status/1551510877941243904
CreativeIC LLC,106,Mon Jul 25 2022 09:59:46 GMT+0000,0,Twitter,https://twitter.com/CreativeICLLC/status/1551507493003706370
QR Listings,3,Mon Jul 25 2022 09:55:05 GMT+0000,0,Twitter,https://twitter.com/qrlistings/status/1551506314471378945
John Vash,54,Mon Jul 25 2022 09:52:05 GMT+0000,0,Twitter,https://twitter.com/PlayaBest/status/1551505559341473793
thelondonlifeinc,881,Mon Jul 25 2022 09:51:35 GMT+0000,0,Twitter,https://twitter.com/londonlifeinc/status/1551505431985520640
Jayson Jones,30,Mon Jul 25 2022 09:45:21 GMT+0000,0,Twitter,https://twitter.com/JaysunJones/status/1551503866113449984
The SR Team,1058,Mon Jul 25 2022 09:41:05 GMT+0000,0,Twitter,https://twitter.com/REbrokerNYC/status/1551502792250081280
Renegade New York,51,Mon Jul 25 2022 09:37:45 GMT+0000,0,Twitter,https://twitter.com/therenegadeny/status/1551501951598223361
Jim Pellerin,1467,Mon Jul 25 2022 09:36:48 GMT+0000,0,Twitter,https://twitter.com/JimPellerin/status/1551501712740974593
rayy_wang,11,Mon Jul 25 2022 09:35:16 GMT+0000,0,Twitter,https://twitter.com/rayy_wang/status/1551501327590739969
Real Estate Panamá,652,Mon Jul 25 2022 09:34:09 GMT+0000,0,Twitter,https://twitter.com/FariaRealTors/status/1551501045234286597
Dara Wehmeyer,285,Mon Jul 25 2022 09:30:22 GMT+0000,0,Twitter,https://twitter.com/DaraWehmeyer/status/1551500094435999745
Mohammed Obaid,2,Mon Jul 25 2022 09:28:18 GMT+0000,0,Twitter,https://twitter.com/hamodiObaid/status/1551499572819673089
Lindsay Hymson,50,Mon Jul 25 2022 09:16:57 GMT+0000,0,Twitter,https://twitter.com/Lindsay_Compass/status/1551496718415548417
Nick Shivers,7,Mon Jul 25 2022 09:15:40 GMT+0000,0,Twitter,https://twitter.com/ShiversNick/status/1551496393881157633
Marshall Kanner,6,Mon Jul 25 2022 09:14:55 GMT+0000,0,Twitter,https://twitter.com/marshallkanner1/status/1551496205464739845
woningmarkt nieuwsbotje,529,Mon Jul 25 2022 09:10:26 GMT+0000,0,Twitter,https://twitter.com/SBotje/status/1551495076228042752
NFT search engine 🌈daily auction,15013,Mon Jul 25 2022 09:01:38 GMT+0000,0,Twitter,https://twitter.com/brave0nft/status/1551492863111925760
