Link: https://www.nytimes.com/2022/07/25/realestate/homeownership-san-diego-tijuana-mexico.html
Facebook Interactions,Facebook Reactions,Facebook Shares,Facebook Comments
1186,589,328,269

Source,Followers,Date,Interactions,Post Type,Link
The New York Times,17951980,Mon Jul 25 2022 22:55:06 GMT+0000,477,Facebook,https://www.facebook.com/5281959998/posts/10152966606794999
Expats in Mexico,128528,Mon Jul 25 2022 23:22:09 GMT+0000,7,Facebook,https://www.facebook.com/groups/1053886741400839/permalink/5115969291859210
Jose A. Sanchez,28188,Tue Jul 26 2022 01:10:16 GMT+0000,7,Facebook,https://www.facebook.com/100044176458975/posts/619981002817776
South Bay Forum,981,Mon Jul 25 2022 19:05:24 GMT+0000,4,Facebook,https://www.facebook.com/groups/118835434873821/permalink/5308542555903057
The Connections Health Group,10,Mon Jul 25 2022 09:49:41 GMT+0000,0,Facebook,https://www.facebook.com/965305066886384/posts/5243503269066521
Talk Baja,75350,Mon Jul 25 2022 22:54:44 GMT+0000,0,Facebook,https://www.facebook.com/groups/606976129316997/permalink/6075163212498234
The Write Stuff,299,Mon Jul 25 2022 12:51:39 GMT+0000,0,Facebook,https://www.facebook.com/285218898269743/posts/4190289687762625
